dyad,age_1,age_2,closeness_1,closeness_2,d_other_1,d_other_2,d_self_1,d_self_2,native_language_1,native_language_2,p_other_1,p_other_2,p_self_1,p_self_2,pes_1,pes_2,sex_1,sex_2,gender_comp
159,1,1,5,5,1.4,2.8,1.8,2.2,1,1,1.6,3.4,2.4,3.2,5.22222222222222,4,1,1,same-gender male
160,2,2,5,4,1,3,1.4,2.6,1,1,2.6,3.2,2.2,2.8,2.22222222222222,3.11111111111111,2,1,mixed
161,2,2,4,5,1.6,3.4,2,2.4,1,1,3.4,5,3.4,4,3.33333333333333,3.55555555555556,2,2,same-gender female
162,1,1,4,5,2.8,2.4,2.8,1.8,1,1,3.2,3.8,2.2,4,3.55555555555556,2.77777777777778,2,2,same-gender female
163,1,1,3,4,1.8,2.2,2,2.2,1,1,3.6,3,3.8,3.2,4.44444444444444,2.33333333333333,1,1,same-gender male
164,2,1,3,3,1.8,2.2,2.8,2.2,1,1,3.4,4.4,4,3.4,4.33333333333333,4.66666666666667,2,2,same-gender female
165,1,1,4,4,2,1.8,3,2,1,1,4.2,4,3.4,3.6,2.44444444444444,3.33333333333333,2,2,same-gender female
166,1,2,3,3,2.8,2.4,2.8,2.2,1,1,4.2,4.4,4.6,4,3.33333333333333,2.55555555555556,2,2,same-gender female
167,1,1,5,5,1.8,1.2,1.8,1.2,1,1,3,4,3,2.2,1.66666666666667,2.88888888888889,2,2,same-gender female
168,1,1,4,4,3.6,3.2,3.4,3.6,1,1,4.4,4,4,3.8,4.44444444444444,3,2,2,same-gender female
169,1,1,3,3,2.6,1.4,1.8,2.8,2,1,4.2,4,3.8,3.4,2.55555555555556,4.66666666666667,2,2,same-gender female
170,1,1,3,3,3,1.2,3,1.2,1,1,4,4.2,2.4,3.8,3.33333333333333,2.22222222222222,2,2,same-gender female
171,1,1,4,4,3.2,2.6,3,3.4,1,1,4.2,4.8,3.8,3.4,3.33333333333333,2,2,2,same-gender female
172,1,1,3,4,1.6,2.4,2.6,2.2,1,1,3.6,3.6,2.8,2.8,2.66666666666667,2.44444444444444,1,1,same-gender male
173,1,1,3,4,2.4,1.4,1.6,1.4,1,1,2.8,2.4,2.8,2.4,2.11111111111111,2.55555555555556,2,1,mixed
174,1,1,4,4,1.2,1.8,1.4,2,1,1,3.6,4.8,4,4.8,3.55555555555556,1.33333333333333,2,1,mixed
175,1,1,5,4,2,1.8,3.2,2,1,1,4.2,4.4,4.2,4,3.55555555555556,3.88888888888889,1,2,mixed
176,1,1,1,2,2.2,2.6,3,2.8,1,2,4.2,3.2,4.4,4.4,4.11111111111111,3.44444444444444,1,1,same-gender male
177,2,2,4,4,2.2,2.4,2,3.2,2,1,5.6,3.4,4.4,4.4,2.88888888888889,5,1,1,same-gender male
178,2,2,5,4,1.6,1,1.6,1.2,1,1,4,4.2,3.8,3,3.22222222222222,3.44444444444444,1,2,mixed
179,2,1,3,3,3.2,1.6,2.6,2.2,1,1,4.4,4.4,3.6,4.4,3.22222222222222,2.33333333333333,1,2,mixed
180,1,1,5,4,3.2,1.8,3,2.4,1,1,3.2,2.8,4,3.2,3.77777777777778,4,1,1,same-gender male
181,1,1,5,5,1.8,3,2,1.4,1,1,6,4.6,3.2,3.6,3.11111111111111,4.44444444444444,1,2,mixed
182,3,3,4,4,1.6,2.2,2.6,2.6,2,1,4.4,3.8,3.6,3.4,4.66666666666667,2.33333333333333,1,1,same-gender male
184,2,2,4,4,1.8,1,2.4,2.2,1,1,3,3.4,3.4,3.4,4,2.11111111111111,1,1,same-gender male
185,1,1,4,3,1.2,2,2.4,2.2,1,1,4,4.6,3.4,2.8,3.22222222222222,3.44444444444444,2,1,mixed
186,1,1,3,3,1.2,1.4,1.2,2.4,1,1,4.4,4.4,3.8,3.2,3.55555555555556,1.11111111111111,2,2,same-gender female
187,1,1,3,3,1,1.2,1.4,1.8,1,1,4.6,4,3.4,3.8,1.11111111111111,3,2,2,same-gender female
188,2,1,3,4,1.8,2,1.8,1.6,1,1,3.8,4,3.8,2.6,1.88888888888889,3.55555555555556,2,2,same-gender female
189,1,1,3,3,2,1,1.4,2.4,1,1,3.4,4.4,3.4,4.4,1,2.55555555555556,2,2,same-gender female
190,1,1,4,4,2.2,2.4,1.6,2.6,1,1,4.2,3.8,4.2,4.2,3.66666666666667,3.55555555555556,1,1,same-gender male
191,1,1,3,3,1,1.4,2.4,1.4,1,1,4.6,4,3,2,3.11111111111111,1.66666666666667,1,1,same-gender male
192,2,1,4,3,2.8,2,2.2,2.8,1,1,3,3.2,3.2,3.2,1.88888888888889,4.88888888888889,1,1,same-gender male
193,2,1,5,5,1.6,1.6,1.6,2.2,1,1,4.4,3.6,3.4,3.6,2.44444444444444,3.66666666666667,2,1,mixed
194,1,1,5,5,1.2,1.2,1.2,1.8,1,1,3.2,4.2,2.8,3.8,1.33333333333333,2.11111111111111,1,2,mixed
195,1,1,4,3,3,2.8,2,2.2,1,1,3.6,3.6,3.6,3.6,3.44444444444444,2.77777777777778,2,1,mixed
196,1,1,3,3,2,1.8,2,2,1,1,3.8,3.2,2.6,2,2.22222222222222,2.11111111111111,2,2,same-gender female
197,1,1,3,3,2.2,2.4,2.4,2.4,1,1,4,3.8,3.4,3.4,2.33333333333333,3.55555555555556,2,2,same-gender female
198,1,1,4,4,3.2,3.6,2,3.8,1,1,3.6,3.4,3.8,3.4,2.88888888888889,2.88888888888889,1,1,same-gender male
199,2,2,5,5,2.8,1.4,3,1.8,1,1,3.4,3.8,3.6,2.6,2.55555555555556,2.66666666666667,2,2,same-gender female
200,1,1,5,5,1.6,3.2,3.2,1.4,1,1,3.6,4.4,3.8,3.4,2.88888888888889,2.11111111111111,2,2,same-gender female
